"CONTRACT_NUMBER","PATH","CONTRACT_ID","STATUS","DOCS_LOADED","DETAIL"
"SOW20210603GP","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20210603GP","300000007915473","LOADED","9","9 document(s) uploaded to ContractId 300000007915473."
"SOW20211005SS-IMITPD-NSH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20211005SS-IMITPD-NSH","300000007915480","LOADED","9","9 document(s) uploaded to ContractId 300000007915480."
"SOW20211005SS-IMITPD-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20211005SS-IMITPD-RCH","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20220518SS-ITDM-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20220518SS-ITDM-RCH","300000007916523","LOADED","9","9 document(s) uploaded to ContractId 300000007916523."
"SOW20221115SS-SPPM-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20221115SS-SPPM-RCH","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20221122SS-IMEPM-BH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20221122SS-IMEPM-BH","300000007915487","LOADED","15","15 document(s) uploaded to ContractId 300000007915487."
"SOW20221122SS-IMEPM-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20221122SS-IMEPM-RCH","300000007915494","LOADED","9","9 document(s) uploaded to ContractId 300000007915494."
"SOW202251208AC","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW202251208AC","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20230222SS-CCPM-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20230222SS-CCPM-RCH","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20230308SS-BA-SPMS-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20230308SS-BA-SPMS-RCH","300000007915501","LOADED","7","7 document(s) uploaded to ContractId 300000007915501."
"SOW20230324SS-BA-EIP-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20230324SS-BA-EIP-RCH","300000007917213","LOADED","17","17 document(s) uploaded to ContractId 300000007917213."
"SOW20230503LT","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20230503LT","300000007915508","LOADED","9","9 document(s) uploaded to ContractId 300000007915508."
"SOW20230922BP","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20230922BP","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231025MB1-CH-Ontec-05","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231025MB1-CH-Ontec-05","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231025MB1-CH-Ontec-06","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231025MB1-CH-Ontec-06","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231102RL","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231102RL","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231107KN","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231107KN","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231107KN-1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231107KN-1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231107KN-2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231107KN-2","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231109BW","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231109BW","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231109TB","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231109TB","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231110BP-2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231110BP-2","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231115CL","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231115CL","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231115DV","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231115DV","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231117JH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231117JH","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231117SS-POSPF-R","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231117SS-POSPF-R","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231120JJ","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231120JJ","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231124DV","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231124DV","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231128CA","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231128CA","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231128RL","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231128RL","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231129CA","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231129CA","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231130JZ","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231130JZ","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231205BW","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231205BW","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231208SS-STRA-r","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231208SS-STRA-r","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231219NSHBCCCct","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231219NSHBCCCct","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240104BP","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240104BP","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240112SL-2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240112SL-2","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240112SL-3","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240112SL-3","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240123PH-2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240123PH-2","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240123RL-1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240123RL-1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240123RL-2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240123RL-2","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240123RL-3","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240123RL-3","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240125MB2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240125MB2","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240126DA","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240126DA","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240126DV-1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240126DV-1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240126DV-2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240126DV-2","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240126GG","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240126GG","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240126SL","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240126SL","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240129JM","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240129JM","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240129MB2-1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240129MB2-1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240129MB6","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240129MB6","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240129MB7","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240129MB7","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240129MB8","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240129MB8","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240131JM","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240131JM","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240202SS-LITS-RCDD-BH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240202SS-LITS-RCDD-BH","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240205JR","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240205JR","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240205LM","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240205LM","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240205MB CH Procom-01","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240205MB CH Procom-01","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240206MB4","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240206MB4","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240207MB1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240207MB1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240207MB2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240207MB2","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240208ML","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240208ML","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240209HP","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240209HP","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240209HX","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240209HX","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240214MB3","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240214MB3","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240214NJB","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240214NJB","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240216SS-SIIDS-r","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240216SS-SIIDS-r","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240216TG-01-Apex Systems-AMD6","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240216TG-01-Apex Systems-AMD6","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240216TG-01-ApexSystems","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240216TG-01-ApexSystems","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240216TG-03-Forecight","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240216TG-03-Forecight","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240216TG-04-TEKsystems","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240216TG-04-TEKsystems","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240223JR","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240223JR","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240227SS-ITDM-BH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240227SS-ITDM-BH","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240228SS-ITTSL-r-1-NSH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240228SS-ITTSL-r-1-NSH","300000007911979","LOADED","6","6 document(s) uploaded to ContractId 300000007911979."
"SOW20240228SS-ITTSL-r-1-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240228SS-ITTSL-r-1-RCH","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240229SS-ITTSL-BH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240229SS-ITTSL-BH","300000007911995","LOADED","3","3 document(s) uploaded to ContractId 300000007911995."
"SOW20240301MB1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240301MB1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240301SSC","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240301SSC","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240304JP","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240304JP","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240306DH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240306DH","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240306PH-MSA-Cascadia-CH-02","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240306PH-MSA-Cascadia-CH-02","300000007913586","LOADED","12","12 document(s) uploaded to ContractId 300000007913586."
"SOW20240306PH-MSA-Cascadia-CH-03","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240306PH-MSA-Cascadia-CH-03","300000007912591","LOADED","15","15 document(s) uploaded to ContractId 300000007912591."
"SOW20240306PH-MSA-Cascadia-CH-04-AMD2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240306PH-MSA-Cascadia-CH-04-AMD2","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240306PH-MSA-DEETKEN-CH-03","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240306PH-MSA-DEETKEN-CH-03","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240306PH-MSA-EY-CH-01","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240306PH-MSA-EY-CH-01","300000007913015","LOADED","6","6 document(s) uploaded to ContractId 300000007913015."
"SOW20240306PH-MSA-KPMG-CH-02","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240306PH-MSA-KPMG-CH-02","300000007912222","LOADED","3","3 document(s) uploaded to ContractId 300000007912222."
"SOW20240306PH-MSA-KPMG-CH-03","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240306PH-MSA-KPMG-CH-03","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240306PH-MSA-PwCManagementCH-01","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240306PH-MSA-PwCManagementCH-01","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240306SS-LNV-BH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240306SS-LNV-BH","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240306SS-LNV-NSH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240306SS-LNV-NSH","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240306SS-LNV-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240306SS-LNV-RCH","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240307HP","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240307HP","300000007917221","LOADED","9","9 document(s) uploaded to ContractId 300000007917221."
"SOW20240307IJ","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240307IJ","300000007913298","LOADED","6","6 document(s) uploaded to ContractId 300000007913298."
"SOW20240307MWC","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240307MWC","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240307RL","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240307RL","300000007916533","LOADED","7","7 document(s) uploaded to ContractId 300000007916533."
"SOW20240308MH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240308MH","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240308MH-AMD13","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240308MH-AMD13","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240311AM","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240311AM","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240318BD","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240318BD","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240322MB","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240322MB","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240326JM","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240326JM","300000007916540","LOADED","9","9 document(s) uploaded to ContractId 300000007916540."
"SOW20240327SS-ITDC-BH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240327SS-ITDC-BH","300000007912315","LOADED","6","6 document(s) uploaded to ContractId 300000007912315."
"SOW20240327SS-ITPC-BH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240327SS-ITPC-BH","300000007913275","LOADED","9","9 document(s) uploaded to ContractId 300000007913275."
"SOW20240328RK-1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240328RK-1","300000007913251","LOADED","12","12 document(s) uploaded to ContractId 300000007913251."
"SOW20240328RK-2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240328RK-2","300000007911987","LOADED","15","15 document(s) uploaded to ContractId 300000007911987."
"SOW20240401BC","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240401BC","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240401BC-02","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240401BC-02","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240401BC-03","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240401BC-03","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240401BC-04","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240401BC-04","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240401BC-05","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240401BC-05","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240401BC-06","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240401BC-06","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240401BC-07","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240401BC-07","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240401BC-08","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240401BC-08","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240401BC-09","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240401BC-09","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240404JM-1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240404JM-1","300000007914017","LOADED","12","12 document(s) uploaded to ContractId 300000007914017."
"SOW20240411JZ","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240411JZ","300000007912336","LOADED","6","6 document(s) uploaded to ContractId 300000007912336."
"SOW20240412DA","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240412DA","300000007912288","LOADED","6","6 document(s) uploaded to ContractId 300000007912288."
"SOW20240412JM","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240412JM","300000007912345","LOADED","9","9 document(s) uploaded to ContractId 300000007912345."
"SOW20240412SS-MMITS-BH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240412SS-MMITS-BH","300000007913259","LOADED","3","3 document(s) uploaded to ContractId 300000007913259."
"SOW20240412SS-MMITS-NSH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240412SS-MMITS-NSH","300000007914003","LOADED","6","6 document(s) uploaded to ContractId 300000007914003."
"SOW20240412SS-MMITS-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240412SS-MMITS-RCH","300000007912296","LOADED","3","3 document(s) uploaded to ContractId 300000007912296."
"SOW20240419CH-1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240419CH-1","300000007913267","LOADED","12","12 document(s) uploaded to ContractId 300000007913267."
"SOW20240419CH-2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240419CH-2","300000007914024","LOADED","12","12 document(s) uploaded to ContractId 300000007914024."
"SOW2024041BC","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW2024041BC","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240422SS-BANCI-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240422SS-BANCI-RCH","300000007913290","LOADED","17","17 document(s) uploaded to ContractId 300000007913290."
"SOW20240425RK-1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240425RK-1","300000007912304","LOADED","15","15 document(s) uploaded to ContractId 300000007912304."
"SOW20240503MD","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240503MD","300000007913172","LOADED","12","12 document(s) uploaded to ContractId 300000007913172."
"SOW20240503SS-PMMM-BH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240503SS-PMMM-BH","300000007914073","LOADED","9","9 document(s) uploaded to ContractId 300000007914073."
"SOW20240503SS-PMMM-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240503SS-PMMM-RCH","300000007913339","LOADED","9","9 document(s) uploaded to ContractId 300000007913339."
"SOW20240507JB","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240507JB","300000007914010","LOADED","6","6 document(s) uploaded to ContractId 300000007914010."
"SOW20240509IJ-2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240509IJ-2","300000007913322","LOADED","9","9 document(s) uploaded to ContractId 300000007913322."
"SOW20240509RK","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240509RK","300000007913283","LOADED","14","14 document(s) uploaded to ContractId 300000007913283."
"SOW20240513BK","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240513BK","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240516SS-ITTDL-BH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240516SS-ITTDL-BH","300000007914051","LOADED","3","3 document(s) uploaded to ContractId 300000007914051."
"SOW20240516SS-ITTDL-NSH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240516SS-ITTDL-NSH","300000007913360","LOADED","3","3 document(s) uploaded to ContractId 300000007913360."
