"CONTRACT_NUMBER","PATH","CONTRACT_ID","STATUS","DOCS_LOADED","DETAIL"
"SOW20250725JH-04","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250725JH-04","300000007914691","LOADED","3","3 document(s) uploaded to ContractId 300000007914691."
"SOW20250725JH-04-AMD1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250725JH-04-AMD1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250725OD","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250725OD","300000007913975","LOADED","3","3 document(s) uploaded to ContractId 300000007913975."
"SOW20250725OD-AMD1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250725OD-AMD1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250728CDG","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250728CDG","300000007914721","LOADED","3","3 document(s) uploaded to ContractId 300000007914721."
"SOW20250728CDG_AMD1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250728CDG_AMD1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250728SP","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250728SP","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250729","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250729","300000007914652","LOADED","3","3 document(s) uploaded to ContractId 300000007914652."
"SOW202507292RS","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW202507292RS","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20250729-AMD1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20250729-AMD1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
