Field,PROD values (batch 1+2+3),LAST_BATCH_LOAD values
"CMTeam","","ADVANCED_SURGICAL_CARE
CARDIAC_AND_PERIOPERATIVE_INTERVENTIONS
DIAGNOSTICS
FACILITIES_AND_PATIENT_SUPPORT
IMITS
MAJOR_EQUIPMENT_AND_REDEVELOPMENT_PROJECTS
ORTHOPEDICS_AND_PROSTHETICS
PHARMACY
SUPPORT_SERVICES"
"ExpiryStrategy","","INACTIVATE_AT_EXPIRY
ONBOARD_TO_GOVERMENT_CONTRACT
OPTION_YEARS_EVERGREEN
OPTION_YEARS_TERM_EXTENTION
PE_SS
RFP
TBD"
"InitialProcurementStrategy","","DISCOVERY
DRFP
ITQ
ONBOARD_TO_GOVERNMENT_CONTRACT
ONBOARD_TO_HEALTHPRO_CONTRACT
PCODR
PE_SS
PROCESS_A_DIRECT_AWARD
RFP
TBD"
"OptionYearsAvailable","","10X1YR
1X10YR
1X1YR
1X2YR
1X3YR
2X1YR
2X2YR
3X1YR
3X2YR
4X1YR
5X1YR
6X1YR
UNLIMITED_RENEWAL"
"ContractTypeName","","EQUIPMENT
RENTAL_LEASE
SERVICE_EQUIPMENT
SERVICE_OTHER
SERVICE_POST_WARRANTY
SERVICES
SOFTWARE
SUPPLIES"
